"Åarjelsaemien gïele"	"Nöörjen gïele"	"Svöörjen gïele"	"Synonyjme"	"Åarjel-saemien jiehtegh"	"Daaroen jiehtegh"	"Baakoe-tjïerte"	"Baakoen syjjehtimmie"	"Baakoen definisjovne saemien gïelesne"	"Baakoen definisjovne daaroen gïelesne"	"Baakoen gaaltije"	"Status"
"Gaske-aaltere"	"Middelalderen"	"Medeltiden"	"Gaske-tïjje, Gaske-aejkie"	"Gaske-aaltere lea akte boelhke Europan histovrijesne."	"En periode i Europas historie kaller vi middelalderen."	"sammensatt substantiv gaske + aaltere"	"Gaske-aaltere, Gaske-aaltarasse"			"Elgå ref. gruppe"	"Godkjent"
"smealhkodh"	"gå i oppløsning"	"gå i upplösning"		"Gaske-aaltere eelki gosse Romerrijhke smealhkoeji."	"Middelalderen begynte da Romerriket gikk i oppløsning."	"verb"	"smealhkodh, smyölhke, smealhkoeji, smyölhkeme"			"Elgå ref. gruppe"	"Godkjent"
"dohk-diekie vaarredidh"	"yre"	"myllra"		"Jïjnjh dohkh-dïekie vaarrin aeriedistie iehkiedasse."	"Det var ett yrende folkeliv fra morgen til kveld."	"uttrykk"				"Elgå ref. gruppe"	"Godkjent"
"eadtjohke"	"livlig"	"livlig"		"Eadtjohke åesiestimmie lij staari jïh laanti gaskemsh."	"Det var en livlig handel mellom byer og land."	"adjektiv"	"eadtjohke"			"Elgå ref. gruppe"	"Godkjent"
"sïejhme"	"typisk"	"typisk"		"Sïejhme gaske-aalteren staare lij movrijste vaarjelamme."	"En typisk middelalderby var beskyttet bak murer."	"adjektiv"	"sïejhme"			"Elgå ref. gruppe"	"Godkjent"
"silhke-jïevege"	"silketeppe"	"silkematta"		"Dan man raerie meehti silhke-jïevegem åestedh."	"Den som hadde penger kunne få kjøpt et silketeppe."	"sammensatt substantiv av silhke + jïevege"	"silhke-jïevege, silhke-jïevegasse"			"Elgå ref. gruppe"	"Godkjent"
"fabrihke"	"fabrikk"	"fabrik"		"Gaske-aalterisnie ij naan fabrihkh jallh maskijnh."	"I middelalderen var det ingen fabrikker eller maskiner."	"substantiv"	"fabrihke, fabrihkese"			"Elgå ref. gruppe"	"Godkjent"
"maskijne"	"maskin"	"maskin"		"Gaske-aalterisnie ij naan fabrihkh jallh maskijnh."	"I middelalderen var det ingen fabrikker eller maskiner."	"substantiv"	"maskijne, maskijnese"			"Elgå ref. gruppe"	"Godkjent"
"barkoe-tïjje"	"arbeidstid"	"arbetstid"	"barkoe-aejkie"	"Dah barkoe-tïjjen njoelkedassh stillin."	"De lagde regler for arbeidstider."	"sammensatt substantiv av barkoe + tïjje"	"barkoe-tïjje, barkoe-tïjjese"			"Elgå ref. gruppe"	"Godkjent"
"jieleme-aaltere"	"levealder"	"medellivslängd"	"jielede-biejjieh"	"Jieleme-aaltere lij sveeki bijjelen vïjhte-luhkie jaepieh."	"Levaalderen var sjelden over femti år."	"sammensatt substantiv av jieleme + aaltere"	"jieleme-aaltere, jieleme-aaltarasse"			"Elgå ref. gruppe"	"Godkjent"
"rijrije"	"ridder "	"riddare"				"substantiv"	"rijrije, rijrijasse"				"Godkjent"
"rijrije-foeve"	"ridderhær"	"kavalleri, riddarhär"		"Alvas dovres rijrijefoevem beelhkedh."	"Å lønne en stor ridderhær var veldig dyrt."	"sammensatt substantiv av rijrije + foeve"	"rijrijefoeve, rijrijefoevese"			"Elgå ref. gruppe"	"Godkjent"
"föydalisme"	"føydalisme"	"feodalism"		"Naemhtems vuekie siebriedahkem öörnedidh föydalismine gåhtjoejin."	"Denne måten å ordne samfunnet på ble kalt føydalisme."	"substantiv"	"föydalisme, föydalismese"	"Akte vuekie siebriedahkem reeredidh."	"En måte å ordne samfunnet på"	"Elgå ref. gruppe"	"Godkjent"
"gaerhteles-voete"	"troskap"	"trohet"		"Lïerehtimmien mænngan tjïehti gaerhteles-voetem hosbåantese dåajvodh. "	"Etter læretiden måtte han love sin herre troskap."	"sammensatt substantiv av gaerhteles  + voete"	"gaerhteles-voete, gaerhteles-voetese"			"Elgå ref. gruppe"	"Godkjent"
"trubaduvre"	"trubadur"	"trubadur"		"Daennie guvvesne trubaduvrem vuajnah."	"På denne tegningen ser du en trubadur."	"substantiv"	"trubaduvre, trubaduvrese"	"Almetje mij tjihtesh tjaala jïh vuelieh laavloe."	"En som skriver dikt og synger sanger."	"Elgå ref. gruppe"	"Godkjent"
"ballaade"	"ballade"	"ballad"		"Dïhte ballaadh laavloeji."	"Han sang ballader. "	"substantiv"	"ballaade, baalladese"			"Elgå ref. gruppe"	"Godkjent"
"gobeleenge"	"gobeleng, teppe"	"gobeläng"		"Daate gobeleenge lea båeries. "	"Dette teppet/gobelengen er gammelt."	"substantiv"	"gobeleenge, gobeleengese"			"Elgå ref. gruppe"	"Godkjent"
"soevese"	"røkelse"	"rökelse"		"Dah ektie-laavlomem govlijin jïh soevesem hepsiejin."	"De hørte korsangen og kjente lukten av røkelse."	"substantiv av soevese"	"soevese, soevesasse"			"Bibelgruppen"	"Godkjent"
