Åarjelsaemien gïele	Nöörjen gïele	Sveerjen gïele	Synonyjme	Baakoen definssjovne saemien gïelesne/Åarjelsaemien jiehtegh	Baakoen definisjovne daaroen gïelesne/Daaroen jiehtegh	Baakoe-tjïerte	Baakoen syjjehtimmie	Baakoen gaaltije	Statuse	Midgard	Siebr.	Kapittel	Side	
sjïdtedehtedh	dyrke 	odla	sjïdterehtedh; maam-akt seehtedh	Greklaantesne olijven-moerh sjïdtedehtieh.	I Hellas dyrker de oliventrær.	verb  	sjïdtedehtedh, sjïdtedahta, sjïdtedehti, sjïdtedahteme	Elgå ref.gruppe	Godkjent	Historie 5		Egypt	side 6	
jeanoe-kultuvre	elvekultur	flodkultur	jeana-kultuvre	Jeanoe-kultuvre Nijlen lïhke.	Elvekulturen ved Nilen	sammensatt substantiv av jeanoe + kultuvre	jeanoe-kultuvre, jeanoe-kultuvrese	Elgå ref.gruppe	Godkjent	Historie 5		Egypt	side 6	
sjïdtedidh	vokse frem	växa fram		Stoerre staarh sjïdtin.	Store byer vokste fram.	verb	sjïdtedh, sjædta, sjïdti, sjïdteme	Elgå ref.gruppe	Godkjent	Historie 5		Egypt	side 6	
åajas-laante	fruktbar jord	fruktbar jord		Åajas-laantesne majsem sjïdtedehtin.	I den fruktbare jorda dyrket de mais.	sammensatt substantiv av åajas + laante	åajas-laante, åajas-laantese	Elgå ref.gruppe	Godkjent	Historie 5		Egypt	side 7	
sadterge	ørken	öken	saedtie-maaje	Maahte apbe laante saadterge	Nesten hele landet er ørken.	substantiv	sadterge, sadtergasse	Elgå ref.gruppe	Godkjent	Historie 5		Egypt	side 8	
mueltie-tsagkese	jordvoll	jordvall		Muelhtie-tsagkesh tjaetsiem heerredieh aabpesidh.	Jordvoller hindrer vann å renne over.	sammensatt substantiv av mueltie + tsagkese	mueltie-tsagkese, mueltie-tsagkesasse	Elgå ref.gruppe	Godkjent	Historie 5		Egypt	side 8	
kanaale	kanal	kanal		Kanale  jeanoe maam almetjh kroehkeme.	Kanal er en elv som mennesker har gravd ut.	substantiv	kanale, kanalese	Elgå ref.gruppe	Godkjent	Historie 5		Egypt	side 8	
tseegkeldahke 	byggverk	byggnadsverk		Stuarah sijhtieh tseegkeldahkh vuejnedh mah aajmene Egyptesne.	Turistene vil se byggverkene som er igjen i Egypt.	substantiv av tseegkedh	tseegkeldahke, tseegkeldahkese	Elgå ref.gruppe	Godkjent	Historie 5		Egypt	side 9	
våalohke 	praktfull 	praktfull, ståtlig		Egyptesne lij gellie våalohke tseegkeldahkh.	I Egypt fantes flere praktfulle byggverk.	adjektiv	våalohke, våalohkhs	Elgå ref.gruppe	Godkjent	Historie 5		Egypt	side 9	
vïenhtedh	tenke seg å	tänka sig att	veantedh, jaehkedh	Dah vïenhtin Faraove lij jupmeli jïh almetji gaskem.	De tenkte seg at farao sto mellom gudene og menneskene.	verb	vïenhtedh, veanhta, vïenhti, vïenhteme	Elgå ref.gruppe	Godkjent	Historie 5		Egypt	side 10	
Biejjie-jupmele	Solgud	Solgud		Faraove Biejjie-jupmelen elkine gåhtjoeji.	Farao ble kalt Solgudens sønn.	sammensatt substantiv av biejjie + jupmele	Biejjie-jupmele, Biejjie-jupmielasse	Elgå ref.gruppe	Godkjent	Historie 5		Egypt	side 10	
ræjhkoesvoete	rikdom	rikedom		Dah faraovh ræjhkoesvoetem vuesiehtin dej våalohke tseegkeldahkigujmie.	Faraoene viste sin rikdom ved å oppføre praktfulle byggverk.	substantiv av ræjhkoes	ræjhkoesvoete, ræjhkoesvoetese	Elgå ref.gruppe	Godkjent	Historie 5		Egypt	side 11	
egyptere	egypter	egyptier		Egypterh idtjin lyjhkh nyjsenæjja laantem reeri.	Egypterne likte ikke at en kvinne styrte landet.	substantiv	egyptere, egypterasse	Elgå ref.gruppe	Godkjent	Historie 5		Egypt	side 11	
loeves-skaavtjoe	kunstig skjegg	konstgjort skägg	loeves-skaavtja	Dïhte loeves-skaavtjoem guedtieji.	Hun bar kunstig skjegg.	sammensatt substantiv av loeves + skaavtjoe	loeves-skaavtjoe, loeves-skaavtjose	Elgå ref.gruppe	Godkjent	Historie 5		Egypt	side 11	
loeves-voepth	parykk	peruk		Egypterh  loeves-voepth nåhtadin.	Egypterne brukte parykker.	sammensatt substantiv loeves + voepth	loeves-voepth, loeves-voeptide	Elgå ref.gruppe	Godkjent	Historie 5		Egypt	side 11	
Biejjien nïejte	Solens datter	Solens dotter		Gujnes-faraove Biejjien nïejtine gåhtjoeji.	Den kvinnlige faraoen ble kalt Solens datter.	frase	Biejjien nïejte, Biejjien nïejtese	Elgå ref.gruppe	Godkjent	Historie 5		Egypt	side 11	
teempele	tempel	tempel		Dah tempelinie årroejin.	De bodde i templer.	substantiv	tempele, tempelasse	Elgå ref.gruppe	Godkjent	Historie 5		Egypt	side 12	
Biejjie-vïnhtse	Solbåt	Solbåt		Dïhte biejjie-vïnhtsine sigli.	Han seilte med solbåten.	sammensatt substantiv av biejjie + vïnhtse	Biejjie-vïnhtse, Biejjie-vïnhtsese	Elgå ref.gruppe	Godkjent	Historie 5		Egypt	side 12	
tjaangedh	ha bolig i	bo i, ha sin boning i		Jupmelh maehtiejin ov-messie dyjride tjaangedh. 	Gudene kunne ha bolig i forskjellige dyr.	verb	tjaangedh, tjaanga, tjaangi, tjaangeme	Elgå ref.gruppe	Godkjent	Historie 5		Egypt	side 12	
bavijaane	bavian	babian		Bavijane, sjakale, gaahtoe, gribpe, haepkie jïh krokodijle lin bissie-dyrjh.	Bavianen, sjakalen, katten, gribben, falken og krokodillen var hellige dyr.	substantiv	bavijane, bavijanese	Elgå ref.gruppe	Godkjent	Historie 5		Egypt	side 12	
sjakaale	sjakal	schakal		Bavijane, sjakale, gaahtoe, gribpe, haepkie jïh krokodijle lin bissie-dyrjh.	Bavianen, sjakalen, katten, gribben, falken og krokodillen var hellige dyr.	substantiv	sjakale, sjakalese	Elgå ref.gruppe	Godkjent	Historie 5		Egypt	side 12	
hååneske-gaahkoe	honningkake	honungskaka	hååneske-gaahka	Dah håneske-gaahkoeh beapmojne åadtjoejin.	De fikk honningkaker å spise.	sammensatt substantiv av hååneske + gaahkoe	hååneske-gaahkoe, hååneske-gaahkose	Elgå ref.gruppe	Godkjent	Historie 5		Egypt	side 12	
plïejhke-gaalloen vuaksa   	okse med hvit flekk i pannen	oxe med vit fläck i pannan	pleajhke-gaallan vuaksa 	Dïhte lij tjeehpes plïejhke-gaalloen vuaksa.	Han var en sort okse med hvit flekk på pannen.	frase		Elgå ref.gruppe	Godkjent	Historie 5		Egypt	side 12	
balsameeredidh	balsamere	balsamera		Gellie dyjriste balsameredin.	Mange av dyrene ble balsamert.	verb	balsameredidh, balsamerede, balsameredi, balsameredamme	Elgå ref.gruppe	Godkjent	Historie 5		Egypt	side 12	
mööbele	møbel	möbel		Kroeptesne lin vaeknieh jïh möbelh gaavneme.	I gravene er det funnet våpen og møbler.	substantiv	möbele, möbelasse	Elgå ref.gruppe	Godkjent	Historie 5		Egypt	side 14	
kroepte	gravkammer	gravkammare		Dam kroeptese bïejin.	Den ble satt inn i et gravkammer.	substantiv	kroepte, kroeptese	Elgå ref.gruppe	Godkjent	Historie 5		Egypt	side 14	
ååredæjjan maaske	maske (over ansiktet)	mask över ansiktet		Ååredæjjan maske meehti tjïelke gulleste årrodh.	Masken kunne være av ekte gull.	substantiv	maaske, maaskese	Elgå ref.gruppe	Godkjent	Historie 5		Egypt	side 14	
tyjje-skurjie 	remse av stoff	tygremsa	tyjje-læstoe	Kråahpem tyjje-skurjine gïebrin.	Kroppen surret de inn i remser av stoff.	sammensatt substantiv av tyjje + skurjie	tyjje-skurjie, tyjje-skårjan	Elgå ref.gruppe	Godkjent	Historie 5		Egypt	side 14	
gejhkie laejrie	soltørket leire	soltorkad lera		Sïejhme almetjh gåetine gejhkie leajroste årroejin.	Vanlige folk bodde i hus av soltørket leire.	frase	gejhkie laejrie, gejhkie laajran	Elgå ref.gruppe	Godkjent	Historie 5		Egypt	side 14	
mumije	mumie	mumie		Desnie kroepth dyjre-mumijgujmie.	Det finnes gravplasser med dyremumier.	substantiv	mumije, mumijasse	Elgå ref.gruppe	Godkjent	Historie 5		Egypt	side 14	
Keopsen pyramijde	Keops-pyramiden	Keops-pyramiden		Keopsen pyramijde stööremes pyramijdijste.	Keops-pyramiden er den største av pyramidene.	frase	Keopsen pyramijde, Keopsen pyramijdese	Elgå ref.gruppe	Godkjent	Historie 5		Egypt	side 15	
kaalhke-gierkie	kalkstein	kalksten		Pyramijde lij klytnjehke veelkes kaalhke-gïerkine gaptjeldihkie.	Pyramiden var dekket av skinnende hvit kalkstein.	sammensatt substantiv kaalhke + gierkie	kaalhke-gierkie, kaalhke-gearkan	Elgå ref.gruppe	Godkjent	Historie 5		Egypt	side 15	
vætnarasse	håndverker	hantverkare	vætnarassje	Maehtetje vætnarassh tempelidie guvviejgujmie, tjaalegigujmie jïh relieffigujmie rïesin .	Dyktige håndverkere pyntet templene med malerier, skrift og relieffer.	substantiv	vætnarasse, vætnarassese	Elgå ref.gruppe	Godkjent	Historie 5		Egypt	side 16	
Deir el Bahrije	Deir el Bahri	Deir el Bahri				substantiv	Deir el Bahrije, Deir el Bahrijese	Elgå ref.gruppe	Godkjent	Historie 5		Egypt	side 16	
